x,y,theta,value,d1,d2,d3,d4,d5,d6,d7,d8
-3.0466215361,-3.4067342653,2.3732988109,633.3764371196,0.9966788888,8.4525117874,8.5015449524,3.3479583263,2.2641448975,1.9296530485,1.9446191788,2.3126049042
-2.2576508874,-0.6879321049,-2.7446206185,908.3486958469,4.8255324364,3.2281253338,2.7464394569,2.7413315773,3.2389950752,4.8599977493,1.2068924904,1.2041397095
2.166661108,-3.626142431,-1.5356551864,755.6569950207,5.062874794,1.9731030464,1.3575829268,1.1693432331,1.1829850674,1.4182616472,2.1823680401,2.5287098885
-2.2571394082,1.9360787594,-2.4994939585,882.7397757815,0.5290959477,0.4162722826,0.3954576552,0.4378349483,4.012904644,7.1207680702,3.8112690449,7.4334907532
-4.3026542325,4.4964310841,0.9146032553,332.8175477147,7.0810513496,8.9887962341,1.2846956253,0.6236842871,0.4580640197,0.4161209762,0.4361369014,0.5387035012
-3.7498116705,-1.7353203619,-1.9722244108,809.8536106955,1.2204759121,1.2267973423,1.433098793,2.1234004498,3.1071176529,3.0965754986,3.6297180653,5.3834319115
-1.8231483784,2.3704765451,-0.5648183518,1128.9868357299,7.672981739,7.150996685,7.8074002266,2.9263148308,3.7927985191,6.4871525764,1.9297837019,3.4978349209
-4.5456765803,0.1419717436,-1.1496331781,114.1275598933,0.4874868393,0.7506079078,2.3590180874,5.0464072227,6.0282034874,9.2138490677,9.3402013779,9.43932724
-1.4871142355,0.7512958913,-1.356597892,1015.7823870675,3.7727768421,4.9779748917,5.9413046837,5.5320725441,6.0231246948,1.5849465132,1.2258653641,3.1876616478
2.2208552835,3.9180874744,-2.6996059169,1826.6721013423,1.2287751436,1.9192115068,6.6535930634,1.9297808409,8.9153852463,4.1629295349,2.6075122356,4.1962461472
-0.9410780078,-4.1053440136,-2.6525837258,665.9807730181,1.9804825783,4.5543217659,4.0327396393,2.3391153812,1.0569294691,0.7653687596,0.6798427701,0.6949181557
0.5597105466,-0.1713945054,-0.3555349651,617.7175253561,4.6606450081,4.7285432816,5.6790523529,4.8258361816,2.6218595505,4.2211995125,1.4190859795,5.9605345726
3.285632788,-3.2019909071,-1.9220612326,683.8079238284,5.1640367508,6.7343535423,2.6770370007,1.8476999998,1.5860402584,1.623241663,1.947701335,1.6092473269
1.0461902123,3.9579480329,1.6409673113,1447.740266473,3.6383550167,1.5511436462,1.0956496,0.9611257315,0.9833091497,1.1958918571,1.9011883736,6.0528178215
-2.857528389,3.0359917677,2.1392354445,980.6251162095,2.7015163898,2.0398852825,1.8700870275,2.0077428818,2.5930330753,2.2817339897,2.0911471844,2.2440896034
-3.2274855465,-4.491262561,0.0044646229,103.893959231,0.2855696976,0.3387110233,0.5165851116,1.4694581032,8.050535202,7.6918177605,2.299721241,9.5747098923
2.612898001,4.2727083781,-1.2945867095,1886.7664829162,8.4802398682,11.6350727081,9.511595726,9.0813341141,4.5197997093,2.6942219734,2.1553318501,2.0606384277
1.1138885091,-1.8560891054,1.8721605228,894.9916842717,2.3186073303,5.6246986389,2.6128797531,6.8000888824,1.7117766142,5.5571389198,6.3266234398,2.9610996246
0.3569976959,-1.6042265757,0.0224761919,789.2331899608,3.2359390259,3.8630523682,5.118827343,4.3802194595,3.5160582066,5.2472186089,2.6674787998,6.6074824333
0.9872129987,4.3935848239,-1.8365090031,1045.791569791,5.9488430023,6.2658987045,0.8465616703,7.0036697388,9.1916332245,3.2200307846,5.6080322266,4.1152391434
-4.0402586593,2.0424675709,0.7632543878,850.5736317217,10.6396617889,0.7115587592,0.6996197104,5.3493666649,3.5053646564,2.9262077808,2.9081976414,1.6908308268
1.5202687522,4.6944196344,-1.5806501192,80.8474636228,6.5588979721,1.6029868126,11.1107139587,5.1810765266,3.3990249634,5.9403209686,3.859474659,3.2154271603
-2.9496625967,-3.1741761397,2.0346298361,681.8620548131,0.9861621857,0.8644828796,8.1490840912,7.6283540726,3.2626538277,2.3010840416,2.0134043694,2.0724825859
0.6149381192,-0.0824069936,-1.7845740489,868.4344258162,0.2577755451,0.2867596447,0.3708612323,5.1219091415,4.6881532669,5.0329751968,5.8346123695,4.4178962708
3.5151573548,4.7551163164,0.5128864149,28.5114712207,1.7665300369,1.2936501503,1.1568135023,0.6487647891,0.3099367917,0.2232160568,0.200000003,0.2106235921
2.6565267651,-1.837464557,1.5062305727,855.4677718498,2.0297431946,2.3147218227,1.2442885637,6.9856176376,2.5118823051,5.7616033554,2.9102659225,7.8670635223
4.0238146743,3.707688074,2.9635332646,1913.7584156402,1.2011916637,1.2995299101,1.7292010784,3.2603092194,3.6720364094,9.7859220505,3.286914587,9.1201906204
-2.4456815808,3.050121087,1.3311222338,1032.989053434,7.115026474,2.2271361351,2.7497673035,2.0509204865,1.8552687168,1.9836302996,2.518597126,2.7567794323
-0.1261332556,-4.3647455662,-2.7771786489,470.1502148429,9.0974655151,5.9177603722,4.950586319,2.4712791443,0.7748259306,0.5062018633,0.4214843214,0.417719692
1.1311712161,-0.2213740033,-0.5995116637,989.9487926502,4.9630227089,4.5580449104,4.8988666534,5.0591621399,3.8481910229,2.0291221142,3.8059501648,1.2349983454
3.4077782099,4.278304288,2.9210484773,2000,0.6258161068,0.6710202098,0.8627765775,1.5447922945,8.3529157639,6.4830937386,11.5281991959,3.2047936916
-3.9811933013,3.7771866503,-0.5994767175,975.678932809,2.4455780983,8.5521917343,1.708181262,5.1990466118,6.1914319992,3.6276276112,3.0267736912,1.6156873703
3.5463108094,-2.9992974161,-0.5874036258,750.7352290717,1.9264432192,1.7802368402,1.9204436541,1.582523942,1.2081855536,1.1204298735,1.2097439766,1.582906723
3.7108805301,2.7062870294,-2.8657098379,1575.7599276241,2.4727301598,3.3786597252,3.5427453518,6.3797636032,9.7154531479,2.0067849159,7.8734140396,7.5030412674
-1.7112268061,4.0702847189,0.7430609544,1184.2548636515,4.6073207855,1.4012671709,5.5080113411,1.6106722355,1.0355631113,0.8623669147,0.8417805433,0.9864809513
0.1920463922,1.7668377918,1.6054357699,1265.8505059136,4.5921797752,5.3919501305,3.6930036545,3.1837382317,1.4241118431,3.870613575,5.9575309753,2.8760037422
2.668497273,2.4751022421,-0.531200898,1536.8830318958,1.2043232918,7.2583847046,4.6035161018,2.6811521053,2.1131689548,1.9919246435,2.2137932777,2.9958047867
2.5613706798,3.517975347,0.0594107096,1924.7264166086,3.7847414017,3.48686409,2.4471080303,2.1293616295,2.1745650768,2.3093559742,1.6051944494,1.392231822
0.4919007704,2.7613739634,-0.6497171272,1356.4215697833,5.2458138466,2.4221346378,7.9663519859,1.8929494619,4.6424474716,4.1774334908,4.4113140106,3.2363069057
2.5228830056,2.2442955721,1.0693277278,1686.4276446824,2.2463343143,2.1430900097,2.4121170044,3.325501442,2.7916996479,2.6751580238,2.9962415695,4.1378135681
-0.8497772249,-2.3262502358,-1.5327832164,795.0109473122,0.9985026717,4.1946892738,2.878793478,2.4829800129,2.5217652321,3.0154886246,4.6618361473,5.5860362053
-2.2642481193,2.2980166624,1.2012070529,773.7495931303,7.0376262665,7.0976758003,2.3388092518,3.0960588455,2.6450037956,2.6756424904,3.1791672707,3.1853377819
-3.4074148515,-0.9715031392,0.0295955424,820.2402388629,3.9004933834,1.544656992,1.6919173002,8.1835374832,3.1363034248,9.8889217377,6.9491958618,2.6614701748
2.7855942416,-4.6871345696,0.3951516114,-293.6649996063,0.2451424897,0.3632959425,1.0596238375,1.9276465178,2.2667777538,3.4070379734,3.7907886505,5.3271169662
0.2507147146,2.6305754019,2.1237543805,1279.4537905599,3.3570380211,2.5112302303,0.5216245055,0.5597937107,0.7101241946,5.4336342812,5.1978235245,5.5452942848
-1.2863043048,-1.2915889514,-2.0915414378,867.8276669857,3.8598766327,3.6700806618,1.3148752451,0.8094509244,3.6806740761,3.4918887615,3.8848876953,5.2969717979
-4.650666187,-0.844526426,-1.3517359104,-149.3821613998,0.314103663,0.4234629571,0.8094780445,3.9323503971,4.2916440964,5.67827034,2.8319826126,7.8035993576
-1.0782975183,0.876161356,-0.9953958527,1037.0510497748,5.6710677147,2.9428527355,5.6665897369,6.2292141914,0.9970921874,4.5090475082,2.7898938656,6.3068766594
2.1015459081,-4.7492318848,2.0248782823,-399.143984116,2.3684849739,1.7426127195,1.5670512915,1.6385253668,2.0591666698,3.4701912403,7.1248307228,0.6503450274
-0.1310716315,2.9483269035,-2.4384080526,1041.1133843297,3.0042026043,5.0678863525,4.8282814026,2.8227980137,7.3785786629,5.3882660866,2.5994243622,8.6496238708
4.4628719428,1.0419983952,-0.4065566388,799.4770065761,5.9424104691,1.1071794033,0.3761387169,0.2467478812,0.2099799663,0.2044571936,0.2438405603,0.3579182327
-0.3419712197,-4.5671081546,-1.9820574232,27.6445188064,4.7151679993,1.1933217049,0.3898391724,0.2542695105,0.213351965,0.2140846103,0.2516674995,0.3645691276
2.8128867934,-0.2133687914,1.3797268365,1132.2276327602,0.3382173181,2.0054135323,2.6246626377,4.8775815964,5.1200561523,1.0523048639,1.224105835,5.9044117928
0.5218413094,1.0604907267,-2.6540975688,1243.624806652,4.9528369904,6.2172970772,5.5041255951,5.7074770927,7.0448937416,0.8046837449,5.8643965721,6.0858597755
3.1214248985,3.1215439802,2.4422691591,1811.8368017835,2.035063982,1.7954201698,1.8544148207,2.2897391319,3.6921057701,2.7916274071,8.3969926834,4.4396080971
2.0254713032,-3.024304875,-1.0815510569,793.5353569349,2.7682192326,1.9899330139,1.7630378008,1.8214190006,2.2597293854,3.0024676323,2.6454451084,2.7516601086
-4.6609212164,-0.6230560863,-3.1218873343,-140.0674658191,1.3530170918,0.5101554394,0.341796875,0.2886730433,0.2953969538,0.3435491621,0.5318337083,1.6232293844
1.8495679691,-2.6319790364,-0.1069783406,727.7044095392,2.1509637833,2.4197402,3.3331201077,2.9476351738,2.8258743286,3.170778513,2.328646183,7.9035305977
