,x,vx,z,vz,phi,w,value,d1,d2,d3,d4,d5,d6,d7,d8
6580,-4.285289708848649,0.5747634949520051,3.7821190885005938,-0.14408691531467532,1.103799549913373,-1.9531574262893658,-120.33358615367752,1.3267163038253784,2.9301106929779053,6.156620502471924,2.80444073677063,9.697092056274414,6.582944393157959,1.8203206062316892,2.033446311950684
6581,-0.7830198456778028,0.3470786963971473,8.270725931942229,-1.3389181726274448,-2.319025823829008,2.561110869396087,139.45659969183004,3.872003555297852,0.5886465907096863,0.3445263206958771,0.2682153582572937,0.2570846378803253,0.2837484180927277,2.8420195579528813,2.2660372257232666
6582,-3.3365783736066934,1.0336092173426152,1.1311790418762069,1.7923166788723843,-2.3316776793381773,0.3591383787646243,-179.99999999999991,1.3270156383514404,1.188252329826355,1.2291914224624634,1.5382555723190308,1.9056625366210935,1.6976873874664309,1.7682743072509766,2.2149922847747803
6583,2.8247388530133186,0.8353172254693768,4.549347739650481,-0.7741967220471175,-2.596330952471671,1.623439884126716,-180.0,4.388735294342041,4.042351722717285,4.235543727874757,5.295562744140625,8.760027885437013,3.657421588897705,8.193563461303711,5.329118728637695
6584,2.7881826467876305,0.13464749945561616,3.272969876620425,1.5113841234075078,1.2120616292689004,1.459074215600534,-152.76366697190645,1.876789212226868,1.9585344791412356,3.0745470523834233,2.214914560317993,1.968882203102112,2.0551111698150635,2.560474395751953,3.817404747009277
6585,-3.9766664091831,0.414240137406872,6.228751408090504,-1.0616929295708428,1.3269856281342272,0.7312686062361801,-66.98981868125199,4.173677921295166,1.6131796836853027,1.020720601081848,1.917946934700012,8.694192886352539,10.015089988708496,2.468342065811157,5.752614498138428
6586,4.972369620270784,-0.02337176437837174,2.4233651241251906,-1.5519441306724766,-2.5659470289214963,1.5713464305294504,-179.99999999999997,1.3923826217651367,1.9267895221710205,2.0931062698364262,2.764240264892578,5.224936485290527,9.28866958618164,10.118191719055176,7.878009796142577
6587,4.21683546490193,0.5495395640772465,3.738352045950281,-1.6951155289845148,1.3162388315771612,-2.7504551567692688,-157.9371096351452,2.6866204738616943,2.3558573722839355,4.8742356300354,0.9753228425979614,0.5918718576431274,0.4721701741218567,0.4555412232875824,0.5076159238815308
6588,2.320508180412757,-1.2374507181638936,4.22042075243466,0.1261613931346477,-1.6245652277302416,-1.4603006247606742,-180.0,3.9922804832458496,3.976297616958618,4.657251358032227,6.904508590698242,2.6898610591888428,6.901549816131593,4.026679515838623,7.199167728424072
6589,-4.942368405533854,0.16634635070601256,8.785347754711381,-0.110256443215635,-1.7253176886028507,0.7969474375933334,37.44965669169937,8.62864875793457,10.279767036437988,15.648059844970705,10.0,10.0,10.0,10.0,10.0
6590,1.1210362102391391,1.3011764683007137,9.564192099525123,0.6025473909991974,-2.8044903379578576,-0.8419768374551055,232.69874464583327,3.538838624954224,4.090253829956056,3.096506357192993,3.599752187728882,9.36293125152588,6.445427894592285,3.0976991653442383,6.520932197570801
6591,2.291469306142501,-1.3312756753575372,3.4659981009963388,-0.9415236120459798,-2.110891296852041,1.8624744015250627,-180.0,2.8537187576293945,3.315342664718628,4.808241367340088,6.879498958587647,2.5697181224823,7.847001552581787,5.021339416503906,7.127992630004883
6592,2.58521273633313,1.2889768758200215,5.085296278932829,0.2707018606114162,-0.8964212172653663,1.1060654866109232,34.51053670391261,3.68931245803833,7.478759288787843,3.885311365127564,7.212759017944336,0.3168763816356659,0.28611397743225103,0.3015177845954895,0.3829393982887268
6593,-1.6617153040824206,0.6892148217678461,1.649214459911158,1.2095716678140205,-2.128629663914912,0.8387679929470719,-180.0,1.6284780502319336,1.6328508853912354,1.9568713903427124,2.9979701042175293,3.30490517616272,3.335214376449585,3.98669695854187,0.7777987122535706
6594,4.268721969970176,0.4787476208431132,4.439574303576749,1.5346095994439652,2.512877108199369,0.7332181354826894,-180.00000000000003,0.4697073698043823,0.4557690322399139,0.5254466533660889,0.7344609498977661,1.6854650974273682,4.430825710296631,5.049898147583008,7.175966739654541
6595,3.252178735235864,-0.3895335556023247,3.621233436779736,0.3114223203726909,-1.6678977769467451,2.9733747448800685,-180.0,4.688002109527588,7.996920585632324,3.7960591316223145,8.387371063232424,5.504655838012695,6.941817283630371,1.742479920387268,1.8633021116256716
6596,4.734167829194254,0.2458667744980696,9.859852568594741,0.5041816588632244,-2.8122628740384954,2.6847188144795955,-169.39949328884796,0.4251260161399841,0.4764066636562347,0.7002935409545898,1.7200301885604858,9.344696044921877,2.9086451530456543,11.663161277770994,5.756012916564941
6597,1.0212056124261115,-1.6100542802677027,1.8827333405293325,0.9264619437765478,0.3627382125332059,2.2451407972475708,-139.33213242674537,4.782401084899902,7.864274978637695,8.08836841583252,4.183118820190431,4.756085395812988,4.167674064636231,4.279501438140868,3.0581986904144287
6598,2.5451725381629497,-0.8943404912368496,5.8691318498717155,-1.0054994185516295,0.9688968800176304,3.0244479656624232,-165.36291802082602,0.4748395085334778,0.3350231945514679,0.29112708568573,0.3253199458122253,3.804335355758667,6.222060203552246,5.50592565536499,5.730661869049072
6599,-0.05093784158226456,-0.6662056499639419,2.8408946952500127,-0.016488197029944196,-0.8178510220275648,1.3428895414023672,-43.555874129798724,0.4819234311580658,0.465348869562149,0.5158320069313049,0.7201510667800903,3.5900545120239262,7.111537456512451,8.005029678344728,4.139965534210205
6600,3.0307141972251603,-1.4322803267309716,8.627857194911947,0.1108300863938534,-0.9997071286644816,-2.3774511776847347,319.93624909223234,8.685425758361816,5.809585094451903,4.285289287567139,3.712521314620972,5.513665199279785,2.237163543701172,1.552073955535889,1.368857979774475
6601,4.212206996192565,0.23320847389198995,5.7235286295994445,-0.2457893359496146,0.06690270241460805,2.6404807961261074,-114.29978811362464,1.001838445663452,4.435993671417236,4.011134147644043,1.0849694013595579,0.6919751167297363,0.5641588568687439,0.5542571544647217,0.6330460906028748
6602,-4.751605135436929,1.9571449923121325,0.0829865215033132,0.26716927853569583,3.0783129025750604,1.4278876707968005,-180.00000000000003,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5675292015075684
6603,2.1574847911427124,-1.3915219659090852,0.28418055968562395,-1.5708002784642887,2.7626036721596288,-1.8192621470703307,-308.8474992565877,0.2167704999446869,10.0,10.0,10.0,10.0,10.0,10.0,10.0
