,samp,x,vx,z,vz,phi,w,value,
58,1,4.292320735,0.104866344,9.123740671,-0.073893833,-0.16314985,0.204117104,1000,
59,1,4.297564053,0.048710007,9.12004598,-0.228793272,-0.152943995,0.193191962,1000,
60,1,4.299999553,-0.001294815,9.108606316,-0.395747827,-0.143284397,0.181465447,1000,
61,1,4.299934812,-0.060380818,9.088818925,-0.472717127,-0.134211124,0.169774304,1000,
62,1,4.296915771,-0.124835417,9.065183068,-0.476802266,-0.125722409,0.158341534,1000,
63,1,4.290674,-0.191145517,9.041342955,-0.428238824,-0.117805332,0.147434691,1000,
64,1,4.281116725,-0.256396228,9.019931014,-0.347307482,-0.110433598,0.137168701,1000,
65,1,4.268296913,-0.318525405,9.00256564,-0.25132597,-0.103575163,0.127729578,1000,
66,1,4.252370643,-0.37622319,8.989999341,-0.154123928,-0.097188684,0.119337685,1000,
67,1,4.233559483,-0.428793994,8.982293145,-0.065920292,-0.091221799,0.112081156,1000,
68,1,4.212119784,-0.476034235,8.97899713,0.006777682,-0.085617742,0.105864189,1000,
69,1,4.188318072,-0.518071004,8.979336014,0.060564293,-0.080324532,0.100415667,1000,
70,1,4.162414522,-0.555234467,8.982364229,0.094460665,-0.075303749,0.095346999,1000,
71,1,4.134652798,-0.587945635,8.987087262,0.109009884,-0.070536399,0.090259182,1000,
72,1,4.105255517,-0.616751201,8.992537756,0.107023234,-0.06602344,0.084834184,1000,
73,1,4.074417957,-0.642264676,8.997888918,0.093134402,-0.061781731,0.07888926,1000,
74,1,4.042304723,-0.665074604,9.002545638,0.072631699,-0.057837268,0.072454421,1000,
75,1,4.009050993,-0.685637277,9.006177223,0.049596559,-0.054214547,0.065786863,1000,
76,1,3.974769129,-0.704268287,9.008657051,0.026277132,-0.050925203,0.059299637,1000,
77,1,3.939555714,-0.72101717,9.009970908,0.000124465,-0.047960222,0.053410211,1000,
78,1,3.903504856,-0.736206862,9.009977131,-0.026048529,-0.045289711,0.048464463,1000,
79,1,3.866694513,-0.750203987,9.008674705,-0.047556151,-0.042866488,0.044654964,1000,
80,1,3.829184313,-0.763218582,9.006296897,-0.062011264,-0.04063374,0.041974399,1000,
81,1,3.791023384,-0.775235782,9.003196334,-0.071542209,-0.03853502,0.040245228,1000,
82,1,3.752261595,-0.786156007,8.999619223,-0.080179053,-0.036522758,0.039124227,1000,
83,1,3.712953795,-0.796179671,8.995610271,-0.083800637,-0.034566547,0.038212981,1000,
84,1,3.673144811,-0.805402851,8.991420239,-0.08016195,-0.032655898,0.037172081,1000,
85,1,3.632874669,-0.8138163,8.987412141,-0.069692251,-0.030797294,0.035790357,1000,
86,1,3.592183854,-0.821353614,8.983927529,-0.054872539,-0.029007776,0.03395272,1000,
87,1,3.551116173,-0.827980888,8.981183902,-0.037843777,-0.02731014,0.031640605,1000,
88,1,3.509717129,-0.833721572,8.979291713,-0.019492532,-0.02572811,0.028944193,1000,
89,1,3.46803105,-0.83862398,8.978317086,-0.000382909,-0.0242809,0.025941656,1000,
90,1,3.426099851,-0.842743519,8.978297941,0.018705224,-0.022983817,0.022685399,1000,
91,1,3.383962675,-0.846095947,8.979233202,0.034801677,-0.021849548,0.019206009,1000,
92,1,3.341657878,-0.848771034,8.980973286,0.047589895,-0.020889247,0.015502091,1000,
93,1,3.299219326,-0.850865939,8.983352781,0.05689999,-0.020114142,0.011488796,1000,
94,1,3.256676029,-0.852482741,8.98619778,0.062639415,-0.019539703,0.007147476,1000,
95,1,3.214051892,-0.853727926,8.989329751,0.064694567,-0.019182329,0.002592984,1000,
96,1,3.171365496,-0.854713299,8.992564479,0.062977015,-0.01905268,-0.001999125,1000,
97,1,3.128629831,-0.855552514,8.99571333,0.057413528,-0.019152636,-0.006389487,1000,
98,1,3.085852205,-0.856360124,8.998584006,0.048131288,-0.01947211,-0.010198911,1000,
99,1,3.043034199,-0.857248335,9.000990571,0.035574425,-0.019982056,-0.013160191,1000,
100,2,-0.650315287,0.029578706,7.912166023,0.061336301,0.04648061,0,-11.63524331,
101,2,-0.648836351,0.039822398,7.915232838,-0.203280836,0.04648061,0.921180587,-6.428249748,
102,2,-0.646845231,0.039470975,7.905068796,-0.690908696,0.092539639,0.916117949,26.26232871,
103,2,-0.644871683,0.039190225,7.870523361,-1.173450662,0.138345537,0.91219048,105.3965418,
104,2,-0.642912171,0.038998927,7.811850827,-1.651009129,0.183955061,0.909100843,248.9645135,
105,2,-0.640962225,0.038873518,7.729300371,-2.123875249,0.229410103,0.905486007,457.4408888,
106,2,-0.639018549,0.05093807,7.623106608,-2.540176758,0.274684403,0.68518802,591.4551335,
107,2,-0.636471645,0.288401901,7.49609777,-2.161254457,0.308943804,0.405646567,595.992961,
108,2,-0.62205155,0.562942365,7.388035047,-1.761431399,0.329226133,0.269945809,586.2086429,
109,2,-0.593904432,0.862628436,7.299963477,-1.341228853,0.342723423,0.264629108,583.6239686,
110,2,-0.55077301,1.161718755,7.232902035,-0.956496638,0.355954878,0.142371309,584.1169415,
111,2,-0.492687073,1.464793014,7.185077203,-0.591655569,0.363073444,-0.030495879,590.6487139,
112,2,-0.419447422,1.772014092,7.155494424,-0.229737989,0.36154865,-0.188843549,598.7798117,
113,2,-0.330846717,2.073309188,7.144007525,0.124835813,0.352106472,-0.363916057,602.3925811,
114,2,-0.227181258,2.363662994,7.150249316,0.478837626,0.33391067,-0.536735194,597.7991016,
115,2,-0.108998108,2.63651387,7.174191197,0.837140292,0.30707391,-0.695312478,587.1051992,
116,2,0.022827585,2.837212186,7.216048212,1.053072238,0.272308286,-0.696535531,585.8092638,
117,2,0.164688195,2.810421404,7.268701824,0.55630936,0.23748151,-0.684448234,624.6910127,
118,2,0.305209265,2.783604558,7.296517292,0.063805191,0.203259098,-0.674305274,671.6067717,
119,2,0.444389493,2.768207286,7.299707551,-0.369339227,0.169543834,-0.686088965,714.3659616,
120,2,0.582799857,2.749917978,7.28124059,-0.804272418,0.135239386,-0.697834668,730.3409176,
121,2,0.720295756,2.848511545,7.241026969,-0.362695175,0.100347652,-0.662665507,733.9750598,
122,2,0.862721333,2.913896429,7.22289221,0.077988602,0.067214377,-0.609653573,738.7283634,
123,2,1.008416155,2.947317147,7.22679164,0.509097506,0.036731698,-0.522984299,744.6125407,
124,2,1.155782012,2.952858915,7.252246516,0.954035041,0.010582483,-0.503868337,764.3378515,
125,2,1.303424958,2.933788406,7.299948268,1.398295636,-0.014610933,-0.497293833,783.6804671,
126,2,1.450114378,2.891117997,7.369863049,1.83677191,-0.039475625,-0.485379827,803.1828527,
127,2,1.594670278,2.825969722,7.461701645,2.256678316,-0.063744616,-0.418513651,811.1990453,
128,2,1.735968764,2.739336413,7.574535561,2.665019287,-0.084670299,-0.327278221,813.3166366,
129,2,1.872935585,2.634223951,7.707786525,3.06894334,-0.10103421,-0.242088985,813.6040959,
130,2,2.004646782,2.515242482,7.861233692,3.465983915,-0.113138659,-0.153735218,811.3800505,
131,2,2.130408907,2.38605316,8.034532888,3.860333953,-0.12082542,-0.080144481,832.403706,
132,2,2.249711565,2.303529499,8.227549585,3.818124391,-0.124832644,-0.0879995,851.4156928,
133,2,2.364888039,2.275089349,8.418455805,3.336122693,-0.129232619,-0.117035214,869.7710083,
134,2,2.478642507,2.251498071,8.58526194,2.822006066,-0.13508438,-0.112210409,887.591713,
135,2,2.59121741,2.22807153,8.726362243,2.312949047,-0.1406949,-0.114777665,895.918684,
136,2,2.702620987,2.20489738,8.842009695,1.808619605,-0.146433784,-0.112506987,934.2056699,
137,2,2.812865856,2.181660814,8.932440676,1.310831527,-0.152059133,-0.107180589,958.2839778,
138,2,2.921948897,2.158267538,8.997982252,0.819919888,-0.157418162,-0.109331008,982.4693524,
139,2,3.029862274,2.131984662,9.038978246,0.353144772,-0.162884713,-0.099090184,1000,
140,2,3.136461507,2.086232196,9.056635485,0.009799254,-0.167839222,-0.085299279,1000,
141,2,3.240773116,2.020205455,9.057125448,-0.21244299,-0.172104186,-0.076651659,1000,
142,2,3.341783389,1.935693313,9.046503298,-0.329220208,-0.175936769,-0.065455497,1000,
143,2,3.438568055,1.835737757,9.030042288,-0.361582283,-0.179209544,-0.046478668,1000,
144,2,3.530354943,1.724121489,9.011963173,-0.332336188,-0.181533477,-0.021499979,1000,
145,2,3.616561017,1.605015684,8.995346364,-0.263366677,-0.182608476,0.004186538,1000,
146,2,3.696811801,1.48256131,8.98217803,-0.173950011,-0.182399149,0.026380111,1000,
147,2,3.770939867,1.360382386,8.97348053,-0.079673311,-0.181080144,0.043682126,1000,
148,2,3.838958986,1.241251287,8.969496864,0.007995667,-0.178896037,0.056785924,1000,
149,2,3.901021551,1.127004521,8.969896647,0.081562622,-0.176056741,0.067180244,1000,
150,2,3.957371777,1.018667309,8.973974779,0.136888119,-0.172697729,0.076297875,1000,
151,2,4.008305142,0.916626044,8.980819185,0.172607424,-0.168882835,0.085139794,1000,
152,2,4.054136444,0.820822324,8.989449556,0.189465991,-0.164625846,0.094135784,1000,
153,2,4.09517756,0.730903507,8.998922855,0.189813799,-0.159919056,0.103124939,1000,
154,2,4.131722736,0.64637183,9.008413545,0.176972583,-0.154762809,0.111487496,1000,
155,2,4.164041327,0.566698231,9.017262174,0.154657853,-0.149188435,0.118390003,1000,
156,2,4.192376239,0.491390665,9.024995067,0.126543716,-0.143268934,0.123020389,1000,
157,2,4.216945772,0.42003496,9.031322253,0.095899942,-0.137117915,0.124759058,1000,
158,2,4.23794752,0.352309592,9.03611725,0.065329151,-0.130879962,0.123353509,1000,
159,2,4.255563,0.287981104,9.039383707,0.036598061,-0.124712287,0.119123912,1000,
160,2,4.269962055,0.22688339,9.041213611,0.010599087,-0.118756091,0.112954389,1000,
161,2,4.281306224,0.168898587,9.041743565,-0.012609781,-0.113108372,0.105880159,1000,
162,2,4.289751154,0.113951918,9.041113076,-0.033751422,-0.107814364,0.09881592,1000,
163,2,4.29544875,0.061993748,9.039425505,-0.054086732,-0.102873568,0.092734256,1000,
164,2,4.298548437,0.012968358,9.036721168,-0.074982254,-0.098236855,0.087660315,1000,
165,2,4.299196855,-0.033261926,9.032972055,-0.096874814,-0.093853839,0.083256349,1000,
166,2,4.297533759,-0.078303775,9.028128315,-0.104368712,-0.089691022,0.079204248,1000,
167,2,4.29361857,-0.121909857,9.022909879,-0.100342745,-0.085730809,0.075741174,1000,
168,2,4.287523077,-0.163814957,9.017892742,-0.088267893,-0.081943751,0.072620324,1000,
169,2,4.279332329,-0.203798005,9.013479347,-0.071425806,-0.078312734,0.069417813,1000,
170,2,4.269142429,-0.241701272,9.009908057,-0.052662906,-0.074841844,0.065848537,1000,
171,2,4.257057365,-0.277440211,9.007274912,-0.034289163,-0.071549417,0.061819679,1000,
172,2,4.243185355,-0.311005287,9.005560453,-0.01802415,-0.068458433,0.057525222,1000,
173,2,4.22763509,-0.34245474,9.004659246,-0.004994444,-0.065582172,0.053465277,1000,
174,2,4.210512353,-0.371896355,9.004409524,0.004205286,-0.062908908,0.050229545,1000,
175,2,4.191917536,-0.399462835,9.004619788,0.009440651,-0.060397431,0.048174062,1000,
176,2,4.171944394,-0.425288812,9.005091821,0.010987742,-0.057988728,0.047231031,1000,
177,2,4.150679953,-0.449492159,9.005641208,0.009421136,-0.055627176,0.046952815,1000,
178,2,4.128205345,-0.472167821,9.006112264,0.005501903,-0.053279535,0.046716515,1000,
179,2,4.104596954,-0.493390302,9.00638736,3.13E-05,-0.05094371,0.04593916,1000,
180,2,4.079927439,-0.51322242,9.006388924,-0.006280291,-0.048646751,0.044189928,1000,
181,2,4.054266318,-0.531729855,9.006074909,-0.012827352,-0.046437255,0.041200577,1000,
182,2,4.027679825,-0.548988989,9.005433541,-0.019187438,-0.044377226,0.036853974,1000,
183,2,4.000230376,-0.565115766,9.00447417,-0.024654039,-0.042534528,0.031211523,1000,
184,2,3.971974588,-0.580257535,9.003241468,-0.028447884,-0.040973951,0.024588041,1000,
185,2,3.942961711,-0.594582747,9.001819073,-0.029940348,-0.039744549,0.017615553,1000,
186,2,3.913232574,-0.608267324,9.000322056,-0.028856501,-0.038863772,0.011201453,1000,
187,2,3.882819207,-0.621485168,8.998879231,-0.025187178,-0.038303699,0.006357095,1000,
188,2,3.851744949,-0.634383509,8.997619872,-0.019277642,-0.037985844,0.003860069,1000,
189,2,3.820025774,-0.647050424,8.99665599,-0.012027697,-0.037792841,0.003936813,1000,
190,2,3.787673252,-0.659494533,8.996054605,-0.004907142,-0.037596,0.006335948,1000,
191,2,3.754698526,-0.671556406,8.995809248,-0.002159244,-0.037279203,0.010315015,1000,
192,2,3.721120705,-0.683316488,8.995701286,-0.000154278,-0.036763452,0.014990531,1000,
193,2,3.686954881,-0.694678605,8.995693572,0.00107352,-0.036013925,0.019527,1000,
194,2,3.652220951,-0.70551933,8.995747248,0.001169363,-0.035037575,0.023431074,1000,
195,2,3.616944984,-0.715712845,8.995805716,-0.00046328,-0.033866022,0.026389028,1000,
196,2,3.581159342,-0.725150116,8.995782552,-0.004499929,-0.03254657,0.028153559,1000,
197,2,3.544901836,-0.733753003,8.995557556,-0.011519369,-0.031138892,0.028524298,1000,
198,2,3.508214186,-0.74148535,8.994981587,-0.021817719,-0.029712677,0.027512042,1000,
199,2,3.471139919,-0.748357519,8.993890701,-0.03533408,-0.028337075,0.025488496,1000,
200,3,1.317492888,-0.001321407,2.545757581,-0.064879037,-0.093320862,0,653.6429452,
201,3,1.317426818,-0.081029305,2.54251363,0.29704491,-0.093320862,0.363205442,654.0192407,
202,3,1.313375352,-0.168247909,2.557365875,0.744037791,-0.07516059,0.361362354,654.7489819,
203,3,1.304962957,-0.237528398,2.594567764,1.188235414,-0.057092473,0.35887824,655.5240032,
204,3,1.293086537,-0.28909847,2.653979535,1.629235624,-0.039148561,0.356224637,656.0537062,
205,3,1.278631613,-0.323229376,2.735441316,2.066731103,-0.021337329,0.353510075,656.8825596,
206,3,1.262470144,-0.340205301,2.838777871,2.500442903,-0.003661825,0.350762476,662.980499,
207,3,1.245459879,-0.340316442,2.963800016,2.930106207,0.013876298,0.347989423,671.1911495,
208,3,1.228444057,-0.323857105,3.110305327,3.355465758,0.03127577,0.345197243,682.0307118,
209,3,1.212251201,-0.291125055,3.278078614,3.776275935,0.048535632,0.34239066,692.6118403,
210,3,1.197694949,-0.242420944,3.466892411,4.192300243,0.065655165,0.339574428,709.8561897,
211,3,1.185573901,-0.178047862,3.676507423,4.603310936,0.082633886,0.336753717,725.7350776,
212,3,1.176671508,-0.098310942,3.90667297,5.009088385,0.099471572,0.33393314,727.146198,
213,3,1.171755961,-0.003517204,4.157127389,5.409418339,0.116168229,0.331109705,728.9326695,
214,3,1.1715801,0.106020579,4.427598306,5.804056813,0.132723715,0.328142388,715.8995141,
215,3,1.176881129,0.229765743,4.717801146,6.191115286,0.149130834,0.318184643,719.367156,
216,3,1.188369416,0.362484366,5.027356911,6.538071057,0.165040066,0.16883431,733.4246068,
217,3,1.206493635,0.506505759,5.354260463,6.869348271,0.173481782,-0.017413909,735.7774459,
218,3,1.231818922,0.659973956,5.697727877,7.215426734,0.172611086,-0.107421214,738.9140404,
219,3,1.26481762,0.703651649,6.058499213,6.941685299,0.167240026,-0.119912622,741.0747902,
220,3,1.300000202,0.701716211,6.405583478,6.412426468,0.161244395,-0.111045367,742.6413723,
221,3,1.335086013,0.697152385,6.726204802,5.873221272,0.155692126,-0.118911037,744.1376696,
222,3,1.369943633,0.733843371,7.019865865,5.602379194,0.149746574,-0.160015405,746.5919482,
223,3,1.406635801,0.867406109,7.299984825,5.989840363,0.141745804,-0.160222897,751.8561509,
224,3,1.450006107,0.865581758,7.599476843,5.48741328,0.133734659,-0.14439765,754.2407066,
225,3,1.493285195,0.857587147,7.873847507,4.9468227,0.126514777,-0.137394952,756.4126708,
226,3,1.536164552,0.8494515,8.121188642,4.410050298,0.119645029,-0.133031534,760.3902279,
227,3,1.578637127,0.841327821,8.341691157,3.878133508,0.112993452,-0.129294803,764.7110937,
228,3,1.620703518,0.833265725,8.535597832,3.351407437,0.106528712,-0.125667132,769.0343183,
229,3,1.662366804,0.825291127,8.703168204,2.830060105,0.100245356,-0.121930805,747.6053647,
230,3,1.703631361,0.817425359,8.844671209,2.314280205,0.094148815,-0.1178957,729.9522153,
231,3,1.744502629,0.809698262,8.96038522,1.804392364,0.08825403,-0.113224712,782.0149762,
232,3,1.784987542,0.802158446,9.050604838,1.301005993,0.082592795,-0.107829982,786.3443008,
233,3,1.825095464,0.794838812,9.115655137,0.80467225,0.077201296,-0.102720432,790.6740204,
234,3,1.864837405,0.787780338,9.15588875,0.316172163,0.072065274,-0.101275567,795.0034621,
235,3,1.904226422,0.786377623,9.171697358,-0.089477647,0.067001496,-0.094869595,799.3650404,
236,3,1.943545303,0.792095394,9.167223476,-0.378554534,0.062258016,-0.091246175,803.7520334,
237,3,1.983150072,0.803909395,9.148295749,-0.550766092,0.057695707,-0.08805968,808.1480805,
238,3,2.023345542,0.819659277,9.120757444,-0.626189878,0.053292723,-0.086358558,811.3777481,
239,3,2.064328506,0.836884097,9.08944795,-0.636397268,0.048974795,-0.085115523,813.8761563,
240,3,2.106172711,0.854608091,9.057628087,-0.590984507,0.044719019,-0.083694947,816.5329962,
241,3,2.148903115,0.871891809,9.028078862,-0.501481654,0.040534272,-0.08042307,819.3475733,
242,3,2.192497706,0.887963604,9.003004779,-0.379199668,0.036513118,-0.075084222,822.3070289,
243,3,2.236895886,0.901823314,8.984044796,-0.247340951,0.032758907,-0.069285158,825.3819528,
244,3,2.281987052,0.912360331,8.971677748,-0.143055397,0.029294649,-0.064702392,828.5237136,
245,3,2.327605068,0.920250833,8.964524978,-0.056472575,0.02605953,-0.060912624,831.7064763,
246,3,2.37361761,0.925661515,8.961701349,0.00861272,0.023013898,-0.056962723,834.9007279,
247,3,2.419900686,0.929037829,8.962131985,0.060485411,0.020165762,-0.052971133,838.0874608,
248,3,2.466352577,0.930725133,8.965156256,0.106407105,0.017517206,-0.049699787,841.2513166,
249,3,2.512888834,0.930744818,8.970476611,0.138871725,0.015032216,-0.047018174,847.5408428,
250,3,2.559426075,0.929220972,8.977420197,0.155019275,0.012681308,-0.044696424,862.0580266,
251,3,2.605887123,0.926284582,8.985171161,0.152656529,0.010446486,-0.04251364,876.5214759,
252,3,2.652201352,0.922097804,8.992803988,0.132645842,0.008320804,-0.04027959,890.9272285,
253,3,2.698306243,0.916854012,8.99943628,0.101455526,0.006306825,-0.037904917,905.2722297,
254,3,2.744148943,0.910715289,9.004509056,0.06760563,0.004411579,-0.035257517,919.5531362,
255,3,2.789684708,0.903774996,9.007889338,0.035326445,0.002648703,-0.032233976,933.7657835,
256,3,2.834873457,0.896098671,9.00965566,0.005123786,0.001037004,-0.029062557,947.9057305,
257,3,2.879678391,0.887756977,9.009911849,-0.023328564,-0.000416123,-0.026207333,961.9685656,
258,3,2.92406624,0.878824541,9.008745421,-0.048224163,-0.00172649,-0.023833707,975.9499077,
259,3,2.968007467,0.869356504,9.006334213,-0.064928935,-0.002918175,-0.021658893,989.8453674,
260,3,3.011475292,0.859387386,9.003087766,-0.071107876,-0.00400112,-0.019310063,1000,
261,3,3.054444661,0.848954882,8.999532372,-0.067797019,-0.004966623,-0.016643126,1000,
262,3,3.096892405,0.838115423,8.996142521,-0.057762035,-0.00579878,-0.013733281,1000,
263,3,3.138798177,0.826945231,8.993254419,-0.044123875,-0.006485444,-0.010775387,1000,
264,3,3.180145438,0.815529441,8.991048226,-0.029114285,-0.007024213,-0.008015819,1000,
265,3,3.22092191,0.803953237,8.989592512,-0.014158488,-0.007425004,-0.005667666,1000,
266,3,3.261119572,0.79229491,8.988884587,-0.000210446,-0.007708387,-0.003949107,1000,
267,3,3.300734318,0.780621779,8.988874065,0.011871144,-0.007905842,-0.003165889,1000,
268,3,3.339765407,0.768984331,8.989467622,0.021308525,-0.008064137,-0.003517614,1000,
269,3,3.378214623,0.75740494,8.990533048,0.027853016,-0.008240018,-0.004775482,1000,
270,3,3.41608487,0.745876195,8.991925699,0.0314185,-0.008478792,-0.006328631,1000,
271,3,3.45337868,0.734368895,8.993496624,0.031896325,-0.008795223,-0.007638082,1000,
272,3,3.490097125,0.722845144,8.99509144,0.029455034,-0.009177127,-0.008517439,1000,
273,3,3.526239382,0.711269163,8.996564192,0.024774144,-0.009602999,-0.008910664,1000,
274,3,3.56180284,0.699610309,8.997802899,0.019081191,-0.010048532,-0.008609901,1000,
275,3,3.596783355,0.687850629,8.998756959,0.013393524,-0.010479028,-0.007427047,1000,
276,3,3.631175887,0.675994705,8.999426635,0.008067183,-0.01085038,-0.005503226,1000,
277,3,3.664975622,0.664072484,8.999829994,0.003048316,-0.011125541,-0.003234719,1000,
278,3,3.698179246,0.652131601,8.99998241,-0.001704518,-0.011287277,-0.001016181,1000,
279,3,3.730785826,0.640225334,8.999897184,-0.006023379,-0.011338086,0.000816737,1000,
280,3,3.762797093,0.628403561,8.999596015,-0.009591713,-0.011297249,0.002072043,1000,
281,3,3.794217271,0.6167076,8.99911643,-0.012198856,-0.011193647,0.002878409,1000,
282,3,3.825052651,0.605164616,8.998506487,-0.013645549,-0.011049727,0.003500912,1000,
283,3,3.855310882,0.593793296,8.997824209,-0.013962282,-0.010874681,0.003900452,1000,
284,3,3.885000547,0.582609337,8.997126095,-0.013324911,-0.010679659,0.003755128,1000,
285,3,3.914131014,0.571619821,8.99645985,-0.011627869,-0.010491902,0.002901537,1000,
286,3,3.942712005,0.560817443,8.995878456,-0.00867117,-0.010346825,0.001459486,1000,
287,3,3.970752877,0.550178935,8.995444898,-0.004392718,-0.010273851,-0.00046134,1000,
288,3,3.998261824,0.539669312,8.995225262,0.000995347,-0.010296918,-0.002750773,1000,
289,3,4.025245289,0.529246194,8.995275029,0.006850201,-0.010434457,-0.005040303,1000,
290,3,4.051707599,0.518861836,8.995617539,0.012203421,-0.010686472,-0.006802899,1000,
291,3,4.077650691,0.508493253,8.99622771,0.013876324,-0.011026617,-0.007761069,1000,
292,3,4.103075353,0.498069983,8.996921526,0.014542634,-0.01141467,-0.007995535,1000,
293,3,4.127978852,0.487564858,8.997648658,0.0146455,-0.011814447,-0.007754905,1000,
294,3,4.152357095,0.476972622,8.998380933,0.014261417,-0.012202192,-0.00719764,1000,
