x,vx,z,vz,phi,w,value,d1,d2,d3,d4,d5,d6,d7,d8
-0.575296595,-0.006964108,1.911819122,0.056503895,-0.180493871,0.0,590.465229,4.294559001922607,4.684257507324219,6.169517993927002,2.411447525024414,5.9999542236328125,8.44091510772705,3.6340060234069824,5.921208381652832
-0.5756448,-0.124180254,1.914644316,0.208174731,-0.180493871,1.184822968,590.0462543,4.3365254402160645,4.967065811157227,2.7852792739868164,2.522210121154785,6.0201311111450195,8.921462059020996,3.6573691368103027,5.689252853393555
-0.581853813,-0.292578653,1.925053053,0.645156849,-0.121252723,1.174138985,589.3586836,4.3821210861206055,5.214449405670166,2.5858116149902344,3.570282459259033,6.065844535827637,9.35240650177002,4.023067951202393,5.609551906585693
-0.596482746,-0.403987787,1.957310895,1.086250317,-0.062545774,1.163548843,588.6487175,4.410891532897949,5.369844436645508,2.409621000289917,7.649791717529297,7.858216285705566,4.335315704345703,4.169741630554199,5.583995819091797
-0.616682135,-0.459071302,2.011623411,1.528092046,-0.004368332,1.153052658,587.9596124,4.500810623168945,5.711094379425049,2.194493293762207,7.495503902435303,7.939175605773926,3.9732909202575684,4.602835178375244,5.572488784790039
-0.6396357,-0.458680421,2.088028014,1.967423061,0.053284301,1.142648957,587.4644161,4.567883491516113,2.647226572036743,2.009932518005371,5.605533123016357,7.933584690093994,3.803457260131836,4.760130405426025,5.568974494934082
-0.662569721,-0.403842443,2.186399167,2.401096818,0.110416749,1.132334463,587.3886259,4.66991662979126,2.303426742553711,1.8148263692855835,5.4592132568359375,7.9764556884765625,3.615511417388916,5.056578636169434,5.579302787780762
-0.682761843,-0.295749381,2.306454007,2.826085602,0.167033472,1.122098734,587.9366408,4.775089740753174,2.0223729610443115,1.944688081741333,5.328978538513184,7.971545696258545,3.4766621589660645,5.250613689422607,5.606978416442871
-0.697549312,-0.135749548,2.447758288,3.239470762,0.223138409,1.111855726,589.2231755,4.904616832733154,1.751129150390625,2.305112361907959,5.186778545379639,7.980506420135498,3.347602367401123,5.480292797088623,5.6181535720825195
-0.70433679,0.065266218,2.609731826,3.597053603,0.278731195,0.928933884,591.5028515,2.068793773651123,1.3825079202651978,6.780633926391602,4.988920211791992,7.969961643218994,3.188223123550415,5.660802364349365,5.64242696762085
-0.701073479,0.306421827,2.789584506,3.916062007,0.325177889,0.652127254,595.2977754,1.7136430740356445,1.1571787595748901,6.579550743103027,4.79725456237793,7.7804670333862305,3.137275457382202,4.965102672576904,5.623696327209473
-0.685752387,0.588487653,2.985387606,4.232592142,0.357784252,0.432712012,600.1966499,1.2964081764221191,1.2657098770141602,6.3323163986206055,4.573673248291016,7.5490007400512695,3.0535762310028076,3.9390814304351807,5.579363822937012
-0.656328005,0.898314135,3.197017213,4.54461435,0.379419853,0.251509248,606.6943794,0.9246847629547119,1.3988231420516968,6.035348415374756,4.291247367858887,7.223118782043457,2.9706196784973145,2.5322463512420654,5.515463352203369
-0.611412298,1.228298548,3.424247931,4.859125039,0.391995315,0.127005087,615.5426122,1.0267812013626099,1.5609251260757446,5.772960662841797,4.02000617980957,6.894581317901611,2.8693222999572754,2.456430673599243,5.42477560043335
