samp,x,vx,z,vz,phi,w,a1,a2
1,-0.57529659482857,-0.00696410782238122,1.91181912170201,0.0565038945669483,-0.180493871399026,0,11.9999947269665,4.59485117832803
1,-0.575644800219689,-0.124180253537035,1.91464431643036,0.208174730618261,-0.180493871399026,1.18482296778133,11.9999923452307,11.9999728410813
1,-0.581853812900424,-0.292578652713877,1.92505305295754,0.645156848509076,-0.121252723019958,1.17413898527549,11.9999887158081,11.9999850211708
1,-0.596482745540004,-0.403987787105193,1.95731089537923,1.08625031675682,-0.0625457737637618,1.16354884277031,11.9999823691715,11.9999884569995
1,-0.616682134899153,-0.459071302038684,2.01162341121328,1.52809204596073,-0.00436833163060308,1.15305265815633,11.9999699968287,11.9999897860074
1,-0.639635700004979,-0.458680420894488,2.08802801350749,1.96742306126853,0.0532843012737472,1.14264895691163,11.9999414373666,11.9999901912573
1,-0.662569721053597,-0.403842442519988,2.18639916656706,2.40109681824023,0.110416749117417,1.13233446269835,11.9998520540991,11.9999900028519
1,-0.682761843183493,-0.295749381064325,2.30645400747518,2.82608560176281,0.167033472251646,1.12209873404496,11.99922879691,11.9999892800113
1,-0.697549312240609,-0.135749548026196,2.44775828755939,3.23947076216861,0.223138408954086,1.11185572616828,10.9194072926567,11.9999879405292
1,-0.704336789645819,0.0652662184896726,2.60973182566384,3.59705360321507,0.278731195263297,0.928933883859254,10.3223132048303,11.9999859928273
1,-0.701073478725237,0.306421826795748,2.78958450582057,3.91606200749082,0.325177889457422,0.652127254147889,10.6654017600259,11.9999833489928
1,-0.68575238738935,0.588487652601269,2.98538760619104,4.23259214218349,0.357784252166182,0.432712012081315,10.8918564679385,11.9999796028704
1,-0.656328004763182,0.898314135153452,3.19701721329606,4.54461434965544,0.379419852771682,0.251509248143737,11.2360019085565,11.9999740833166
1,-0.611412298009388,1.22829854797797,3.42424793077458,4.85912503861749,0.391995315180234,0.127005086764294,10.3566210833069,11.9999653279671
1,-0.549997370614305,1.55246718599506,3.66720418270092,5.13421668997098,0.398345569519607,-0.137075578263639,11.1512266599439,11.9999547326682
1,-0.47237401131613,1.89073835844561,3.92391501719489,5.43328293659007,0.391491790607349,-0.271635648183362,11.1589641752882,11.9999380298118
1,-0.377837093394966,2.22002999332856,4.19557916401979,5.73208997030984,0.377910008198898,-0.403741311360384,11.2939302344325,11.9999090805422
1,-0.266835593729459,2.53656247773779,4.48218366253064,6.03754086441591,0.357722942631422,-0.513056180109381,11.3203580609856,11.9998473368832
1,-0.140007469843382,2.83306850828458,4.78406070574678,6.34761445429314,0.33207013362635,-0.617146697508382,11.3598597290239,11.9996469613411
1,0.00164595557010064,3.10499569460603,5.10144142845676,6.66406184677082,0.301212798751262,-0.71394599146758,11.0541260300338,11.9626371879241
1,0.156895740299695,3.34327685577149,5.43464452079062,6.9733442332552,0.265515499178207,-0.852867983886958,0.00151540188421546,0.00116499976343888
1,0.324059583087583,3.31039812948829,5.78331173244867,6.41431082570454,0.222872099984188,-0.845119050332893,0.000885158361828308,0.000631823643324369
1,0.489579489561318,3.27782857154496,6.10402727372919,5.86073611443144,0.180616147467871,-0.837455542943801,0.000804133789163732,0.000524077025899608
1,0.65347091813788,3.24557576958363,6.39706407944604,5.31260316396281,0.138743370321005,-0.829856884864146,0.000986716154958616,0.00053865932735161
1,0.815749706616359,3.2136392951799,6.66269423763944,4.7698732590429,0.0972505260781166,-0.822299886670021,0.00185201403605555,0.000682924287354132
1,0.976431671374635,3.18201840576994,6.90118790058685,4.23252504366942,0.0561355317449235,-0.814695687332179,1.09945173097741,0.00135970927013878
1,1.13553259166241,3.15313304289085,7.11281415276553,3.74363700944953,0.0154007473786288,-0.631652408758942,11.9997578708947,11.4282660795601
1,1.29318924380624,3.13630591314368,7.29999600323307,4.13854483376433,-0.016181873058946,-0.534516217417933,11.9984318070476,10.8783921333056
1,1.45000453946274,3.09086506385555,7.50692324492246,4.50785625802145,-0.0429076839294514,-0.350488533337659,11.1015976905368,11.0019797431045
1,1.60454779265503,3.02312306006604,7.73231605782473,4.84240740032914,-0.0604321105958563,-0.331388255177428,0.00293607157641359,0.00647113705052418
1,1.75570394565809,2.99334339244366,7.9744364278424,4.30461547278679,-0.0770015233543432,-0.328964743591481,0.00213552048695766,0.0102503292843558
1,1.90537111528015,2.96383990355379,8.18966720148298,3.77223310564036,-0.0934497605336517,-0.327295851011931,0.00194662449994041,0.00648074040538704
1,2.0535631104578,2.93463234514035,8.37827885676628,3.24493471964047,-0.109814553084163,-0.325069100980854,0.00187737947269748,0.0103726241432017
1,2.20029472771483,2.90569057926415,8.54052559274962,2.72297526261739,-0.126068008133264,-0.323496216837472,0.00196845615544461,0.0154737719671489
1,2.3455792566781,2.87700009045754,8.67667435588185,2.20635498800136,-0.142242818975313,-0.322739131491581,0.00222617636894351,0.0212687278849524
1,2.48942926120107,2.84854731919161,8.78699210528332,1.69505389901518,-0.158379775550058,-0.322874832768073,0.00256189245689504,0.0349021444372012
1,2.63185662716077,2.82027339427868,8.87174480023552,1.18932611875955,-0.174523517188603,-0.325136942093293,0.00254027560943273,0.0322574197232513
1,2.77287029687485,2.79227283831337,8.93121110617496,0.688468630638926,-0.190780364293423,-0.326958949933805,0.000316147966024076,0.0293708902829422
1,2.91248393879068,2.76456128790439,8.96563453770839,0.192338625361939,-0.207128311790391,-0.328658538976183,1.11361628028454,1.00183910784522
1,3.05071200318607,2.72020607652444,8.97525146897799,-0.218552449660882,-0.223561238739796,-0.307809691364398,3.88871805429608,3.60830106505807
