x,vx,z,vz,phi,w,a1,a2,d1,d2,d3,d4,d5,d6,d7,d8
2.8050666117805876,1.7184354670266528,2.8420264819074936,0.7866688022209103,0.520190975960055,1.9816991250803455,8.634752830773898,1.3214484732351708e-05,0,0,0,0,0,0,0,0
2.8909883851319202,1.5295761233186402,2.8813599220185395,0.588005957279245,0.6192759322140723,-5.288396080613522,5.5517284388698035e-06,0.2255597996192122,0,0,0,0,0,0,0,0
2.967467191337596,1.5090432245417686,2.910760219828504,0.09897300284495376,0.35485612784238707,-4.901678654671948,9.272281090408796,11.41885795051639,0,0,0,0,0,0,0,0
3.04291935260439,1.206382740744106,2.915708869916816,0.38356358959057135,0.10977219505645258,-2.928643181811366,17.16592992653144,18.393742459787987,0,0,0,0,0,0,0,0
3.1032384896812393,1.0384937633249485,2.9348870493425085,1.3030536224363338,-0.036659964059198996,-1.7953978978488367,17.300775147695266,18.393744317920447,0,0,0,0,0,0,0,0
3.155163177886882,1.0804394945155031,3.000039730411146,2.226344542992292,-0.12642985894504127,-0.8171132183338979,17.42927945673821,18.39374396155955,0,0,0,0,0,0,0,0
3.209185152651681,1.2503168411237247,3.111356957508791,3.1350650187448625,-0.16728551982502984,0.017317040805059962,17.567810692117686,18.39374224312752,0,0,0,0,0,0,0,0
3.2717009947464715,1.4773267914598147,3.2681102083958202,4.0315961026752225,-0.16641966771793412,0.7049425011950967,17.727549169870418,18.393737772522435,0,0,0,0,0,0,0,0
3.3455673343576637,1.7018968742256717,3.46969001348165,4.925669814783761,-0.1311725425594785,1.2336055810685074,18.07724565152793,18.39371489786552,0,0,0,0,0,0,0,0
3.430662178106826,1.875689162232056,3.7159735041756954,5.832218992016738,-0.06949226337425018,1.4509669432611723,9.159245533750122,9.292449165524728,0,0,0,0,0,0,0,0
3.5244466362561147,1.908181104893141,4.007584453734669,6.019683188680193,0.003056083771577096,1.507437795457143,9.609286340029112e-05,0.022328932775702807,0,0,0,0,0,0,0,0
3.6198556915384232,1.8890965277608793,4.308568613130598,5.469883353583222,0.07842797352706418,1.469310624906047,0.04409789814487512,0.00013436043648254264,0,0,0,0,0,0,0,0
3.7143105179641265,1.8700669487908042,4.582062780774311,4.9264483723014605,0.15189350475483818,1.3774527524971605,11.849433330100368,11.377051629301013,0,0,0,0,0,0,0,0
3.8078138654413665,1.710790143157272,4.828385199355452,5.30504642357039,0.22076614231760025,0.9320320692162134,18.39372332012657,17.923046808785077,0,0,0,0,0,0,0,0
3.8933533726369607,1.3755803717580952,5.093637520500537,6.178910411365623,0.26736774572965755,0.5047727711634274,18.39372344360898,17.885710335542147,0,0,0,0,0,0,0,0
3.9621323911106106,0.9784327179756245,5.402583041078142,7.026237872239048,0.2926063842600212,0.06245747112551724,18.393691068784825,18.01501626823153,0,0,0,0,0,0,0,0
4.011054027011267,0.5485664445298783,5.753894934699309,7.859922198478928,0.295729257806934,-0.2554522226240644,12.518190153156283,12.481972794970567,0,0,0,0,0,0,0,0
4.038482349238131,0.25164100635388975,6.146891044632185,8.247419014561116,0.28295664689059097,-0.27603260841297994,0.24626472928844542,0.2679717231612731,0,0,0,0,0,0,0,0
4.05106439955525,0.24338231724405085,6.5592619953687255,7.6941965075867,0.2691550164679918,-0.2475692213201819,6.435021555634634e-05,0.00018414084127127417,0,0,0,0,0,0,0,0
4.063233515416585,0.240945850894059,6.943971820754388,7.126764124255551,0.25677655539984684,-0.23816491923406516,4.2481168991252424e-05,0.00018364132679225354,0,0,0,0,0,0,0,0
4.075280807960641,0.23853409506926268,7.300310026971193,6.565005231287033,0.24486830943570714,-0.2290962542269326,3.446614417608531e-05,0.0002048064464745707,0,0,0,0,0,0,0,0
4.087207512713911,0.23614643342409736,7.628560288537354,6.008864464247382,0.23341349672151102,-0.22034410309465538,3.0928420677846954e-05,0.0002482173269345441,0,0,0,0,0,0,0,0
4.099014834385436,0.23378238571567173,7.929003511749344,5.458286682459632,0.22239629156341045,-0.21188176314093538,2.961854498899866e-05,0.0003272607779125056,0,0,0,0,0,0,0,0
4.110703953672087,0.2314414120080539,8.201917845869763,4.913217738946304,0.2118022034023791,-0.20367050502635756,2.9799791640116928e-05,0.00047204378494596706,0,0,0,0,0,0,0,0
4.122276024273938,0.22912277574001008,8.447578732812339,4.373605186237262,0.20161867814636317,-0.19564735189653695,3.1288088877739664e-05,0.0007362212072648108,0,0,0,0,0,0,0,0
4.133732163062989,0.22682539565292814,8.666258992117283,3.83939921195705,0.19183631054602157,-0.18770682800112848,3.421982850888327e-05,0.001280176704883914,0,0,0,0,0,0,0,0
4.145073432848314,0.22454712407202992,8.858228952706044,3.3105568325100494,0.18245096913959352,-0.17961388232944098,3.868493327077278e-05,0.0015349688515409812,0,0,0,0,0,0,0,0
4.156300789055244,0.22229023163234243,9.02375679432028,2.7870131655087103,0.1734702750163306,-0.17161649066236312,4.557866001513371e-05,0.0020303661056994414,0,0,0,0,0,0,0,0
4.167415300640859,0.22005300133768801,9.163107452582281,2.268724826177538,0.1648894504762173,-0.16351258135757615,5.578387359941077e-05,0.0022716762591035687,0,0,0,0,0,0,0,0
4.178417950712432,0.21783721058151861,9.276543693875565,1.755629417031513,0.15671382140115817,-0.15552065652777478,7.175169536655202e-05,0.0017758788791827453,0,0,0,0,0,0,0,0
4.189309811246908,0.21564731004371712,9.364325164709387,1.2476461233999634,0.14893778856725556,-0.1482555658751428,9.843296238237528e-05,0.00675645873531965,0,0,0,0,0,0,0,0
