x,vx,z,vz,phi,w,a1,a2
4.0972178724,-0.2034966163,9.00273867,-0.0188847547,-0.0293848821,-0.0549953959,6.0664921599,6.0756116951
4.0870430412,-0.1871957163,9.0017944324,-0.0237034972,-0.0321346523,-0.045328873,6.0548317606,6.0659112249
4.0776832551,-0.16975218,9.0006092578,-0.0293573864,-0.0344010963,-0.0343923759,6.044708056,6.0571108594
4.0691956458,-0.1514126404,8.9991413886,-0.035734281,-0.0361207153,-0.0227641262,6.0347968084,6.0451256795
4.0616250135,-0.1324577747,8.9973546746,-0.0429380632,-0.0372589218,-0.013301182,6.0036499225,6.0113646567
4.0550021245,-0.1132418842,8.9952077714,-0.0526717332,-0.0379239811,-0.0063723341,6.0450590373,6.0503391547
4.0493400301,-0.0937780742,8.9925741848,-0.0590954254,-0.0382425978,-0.0017327427,6.2399919661,6.2428972207
4.0446511262,-0.0737613521,8.9896194135,-0.0499609076,-0.038329235,0.000753425,6.7121259797,6.7124959392
4.0409630585,-0.0524545828,8.9871213681,-0.0032639674,-0.0382915638,0.0010334084,7.638411163,7.6370330036
-1.7524995912,0.0915013671,2.4233937918,0.092977707,-0.1369547673,0,18.1595108755,0.2848411863
-1.7479245229,0.1871890405,2.4280426771,0.3347777338,-0.1369547673,-14.8956572114,4.6074343466,18.3691739117
-1.7504896143,0.3072315162,2.4582755231,0.7530946946,-0.8807779522,-2.867762406,17.7435089547,18.2761186187
-1.7470727102,1.4123168377,2.5093451081,1.1733284195,-1.0234195529,-2.3162300978,14.9282504979,18.2844734706
-1.6884207185,2.5338170038,2.5813451745,1.3668956028,-1.1382376662,0.5675551667,8.759851603,18.2603452843
-1.5737115822,3.4902024846,2.6629451586,1.3127356619,-1.1099647937,8.4632030311,14.2737077176,18.1959655245
-1.4111998212,4.6270722798,2.7417676735,1.3866351038,-0.6882475138,11.4136398432,17.6292199719,17.9537666991
-1.1918599953,5.486566786,2.8242219778,1.9831747291,-0.1194719446,11.2551683666,18.0504730189,15.9825694822
-0.9295613824,5.5937435284,2.9364412881,2.8222992897,0.4415389968,9.1090000816,18.1812550861,12.9205993408
-0.661920981,5.0004278639,3.0905512162,3.426985541,0.8956024045,4.3829122383,18.2444676892,13.0750172706
-0.4239676044,3.9653394734,3.2748297742,3.6839917654,1.1137360663,-0.0895041128,18.2810036661,13.3058801529
-0.2378110981,2.7903821263,3.4719011694,3.712141582,1.1087980103,-4.2318502312,18.3023473211,16.543633823
-0.1104654527,1.5148741232,3.6698524,3.8003164181,0.8968822774,-5.5381176534,18.2936492618,18.1389197653
-0.0639736453,0.3617989635,3.8472660819,4.1788606192,0.6199391035,-5.4585864472,18.2209234755,17.5393195214
-0.0504228243,-0.4703873463,4.042437683,4.8095782982,0.3477916661,-5.8211686803,18.0369235517,17.6358317932
-0.0450684011,-0.949387764,4.2690356301,5.6107502269,0.0589030361,-5.9364916245,17.8049230501,17.6906759061
-0.0533661186,-1.0225307408,4.5356603164,6.4795920233,-0.2353084545,-5.8085644482,17.7638724031,17.6427977997
-0.0661683412,-0.6830663146,4.8457432526,7.3000033525,-0.5243313307,-5.6912112589,17.6684008643,17.3958438995
-0.0822634901,0.0240310815,5.1968935229,7.9499125946,-0.8092498767,-5.7045004874,17.0823986978,17.1653450985
-0.0934831455,1.0140638964,5.5872442037,8.3250222442,-1.0952592792,-5.4210180911,16.3290453915,17.362891737
-0.0572775281,2.2017457895,5.9969219564,8.3681071267,-1.3668074203,-4.3557634314,14.8157386212,17.332621533
0.0544152217,3.438608726,6.4104614707,8.0542899053,-1.5849044026,-2.094674145,10.2753478265,17.2983616628
0.2247749933,4.5067702657,6.812706267,7.4676340863,-1.6896655837,3.8365460993,6.9502486618,17.2153176753
0.4486884289,5.4214340456,7.1859455456,6.7877105617,-1.4976587548,12.2465629947,6.7564429839,17.0259310265
0.7183848502,6.316996646,7.5252294562,6.2985215145,-0.8851719586,20.3441889827,6.9249345437,12.0557236798
