x,vx,z,vz,phi,w,a1,a2,d1,d2,d3,d4,d5,d6,d7,d8
-0.0599957281,0.3691500772,4.2957508238,7.8186704449,0.271586451,-3.8092210402,17.9156253464,16.2166307191,1.156309962272644,1.3933711051940918,5.6883673667907715,3.399144172668457,4.99721097946167,6.009517192840576,1.207484245300293,1.0379549264907837
-0.0415381726,-0.0007937299,4.6866843406,8.5652315227,0.0811253987,-5.0818866722,0.0027373533,0.0044981091,1.0756202936172485,5.073612689971924,6.341781139373779,3.189243793487549,2.8568925857543945,4.565149784088135,5.709410190582275,5.589617729187012
-0.0415778407,-0.0008107691,5.1149459112,7.9893675517,-0.1729689352,-4.8894251349,0.0044216129,0.0051614447,1.0923340320587158,4.835020542144775,5.506863594055176,5.131237506866455,2.6396336555480957,4.062783241271973,4.636762619018555,6.349013328552246
-0.0416183834,-0.0007375294,5.5144142832,7.4193516297,-0.4174401923,-4.7050477137,0.0005230682,0.1688889159,1.1217224597930908,4.774339199066162,5.1276469230651855,5.505523681640625,2.534022808074951,3.8205039501190186,4.10758113861084,5.316165924072266
-0.0416552824,0.0020148731,5.885381859,6.8608537296,-0.6526925789,-4.3879114639,2.9938922119,5.2963873193,1.3276394605636597,1.930920958518982,4.752108573913574,5.287048816680908,4.4992570877075195,1.9807311296463013,3.380988836288452,3.7585325241088867
-0.0415545799,0.2033950305,6.2284245399,6.5651919655,-0.8720881523,-2.3042532019,11.6096994469,14.3444913489,1.4212027788162231,2.249647617340088,4.744439125061035,5.128614902496338,4.447704792022705,1.7628977298736572,3.121506690979004,3.372112989425659
-0.0313848202,0.9962711039,6.556684133,6.6768094056,-0.9873008106,0.0613415659,15.5975845373,17.1507328949,1.79093599319458,5.204627513885498,4.804025650024414,5.197941780090332,1.7481069564819336,1.3387304544448853,2.7313759326934814,2.954277992248535
0.0184287431,2.079532851,6.8905245988,6.8412372539,-0.9842337302,1.3533264434,9.7124246855,9.6845765632,2.7726798057556152,5.179860591888428,4.997202396392822,1.5855047702789307,0.9679834842681885,1.1187461614608765,2.2668678760528564,2.5620198249816895
0.1224053938,2.7048877036,7.2325864572,6.7118983191,-0.916567408,1.279257156,0.0078459561,0.0062077109,3.2648751735687256,5.229936599731445,5.123827934265137,1.0595580339431763,0.7044664621353149,1.692832589149475,2.057002544403076,2.3649606704711914
0.2576497872,2.6782767494,7.5681813688,6.1546324532,-0.8526045503,1.2298132034,0.0051102252,0.0022386065,6.2259111404418945,5.320779323577881,0.8101406097412109,0.7211869359016418,1.0804587602615356,1.6965677738189697,1.7127376794815063,2.03629994392395
0.391563634,2.6517088581,7.8759129841,5.6027872152,-0.7911138902,1.181199708,0.0050185756,0.0032001393,6.174428462982178,0.7399844527244568,0.7677820324897766,0.9215916991233826,1.4824409484863281,1.4136635065078735,1.451349139213562,1.7814106941223145
0.5241490724,2.6254197469,8.1560523374,5.0564965029,-0.7320539049,1.1352909219,0.0049280136,0.0041605125,1.0127357244491577,0.9178711175918579,0.9745386838912964,1.2441020011901855,1.173336148262024,1.071800708770752,1.133138656616211,1.4500795602798462
0.6554200564,2.5994037212,8.4088771552,4.5157063729,-0.675289359,1.0919833204,0.0049043916,0.0053062845,1.0626194477081299,0.9730513691902161,1.0400084257125854,1.350641131401062,1.0563541650772095,0.9734525084495544,1.0365089178085327,1.3452359437942505
0.7853902396,2.5736617145,8.6346624666,3.9803708223,-0.6206901932,1.051277858,0.0049493029,0.0067139022,1.207096815109253,1.1360790729522705,1.2517821788787842,0.9961373805999756,0.787073016166687,0.7417770028114319,0.8072986006736755,1.088040828704834
0.9140733229,2.5481956974,8.8336810005,3.4504472935,-0.5681263006,1.0132378313,0.0050397519,0.008453349,1.3551173210144043,1.302828073501587,1.1534767150878906,0.69598388671875,0.568749725818634,0.5448159575462341,0.6174267530441284,0.8607783913612366
1.0414831056,2.5230078988,9.006203358,2.9258956589,-0.5174644093,0.9780016405,0.0051058004,0.0105177022,1.4027456045150757,1.3583190441131592,0.9718045592308044,0.6071417331695557,0.49632206559181213,0.4775286912918091,0.5490133166313171,0.7660857439041138
1.1676334986,2.4980989624,9.1524981339,2.4066736161,-0.4685643276,0.9457549972,0.0049063002,0.0126944435,1.536055564880371,1.524109125137329,0.6232748031616211,0.4128355383872986,0.3460257947444916,0.34065547585487366,0.3961467444896698,0.5850009322166443
1.292538445,2.4734636925,9.2728318076,1.8927222541,-0.421276578,0.9167004914,0.0038235806,0.0141352045,1.6587913036346436,1.115665078163147,0.42673900723457336,0.28778672218322754,0.24933791160583496,0.25078901648521423,0.3026948869228363,0.46095067262649536
1.416211628,2.4490820216,9.3674679132,1.3839267377,-0.3754415537,0.8908408513,0.0001081108,0.0168218754,1.8038766384124756,0.6293655633926392,0.27956056594848633,0.4232545793056488,0.37786123156547546,0.393972247838974,0.21896058320999146,0.3556898236274719
1.5386657277,2.4249584014,9.4366642428,0.8801765157,-0.3308995114,0.87128822,0.0502831693,0.0837786315,1.9255952835083008,0.43396812677383423,0.20802800357341766,0.3833327889442444,0.33920755982398987,0.35572224855422974,0.4450249969959259,0.29737213253974915
1.6599136465,2.4026352027,9.4806730609,0.3858948823,-0.2873351007,0.8664551896,0.2973835422,0.3264414844,2.0506014823913574,0.35436585545539856,0.47352156043052673,0.355080246925354,0.31842127442359924,0.35317176580429077,0.44763800501823425,0.30145928263664246
1.7800454054,2.3858990452,9.4999677959,-0.0845770791,-0.2440123415,0.8581058672,0.7836803086,0.7992507568,2.17387056350708,0.34996986389160156,0.4735223352909088,0.35857638716697693,0.33514654636383057,0.3696797490119934,0.4809119701385498,0.3641130030155182
1.8993403566,2.377496648,9.495738951,-0.512794414,-0.2011070485,0.8388307619,1.150135459,1.1514224583,2.3056817054748535,0.398670494556427,0.22826188802719116,0.38765567541122437,0.3680223822593689,0.4057788550853729,0.25501564145088196,0.5066028237342834
2.0182151881,2.3722832677,9.4700992371,-0.9079450626,-0.1591655108,0.8083772052,1.6565630943,1.6404240648,2.376013994216919,0.42812660336494446,0.25239869952201843,0.20000000298023224,0.39036649465560913,0.20900875329971313,0.3033670485019684,0.6062513589859009
2.1368293506,2.3695682322,9.4247019898,-1.2591010347,-0.118746651,0.764546504,2.8677772158,2.8428003618,2.2230961322784424,0.5243319272994995,0.32373762130737305,0.2596316337585449,0.251675009727478,0.28869038820266724,0.4039336144924164,0.9231551289558411
2.2553077615,2.3729598421,9.3617469434,-1.5100836614,-0.0805193264,0.7149982529,4.5888743821,4.5655399699,2.2279748916625977,0.6653410792350769,0.4332682490348816,0.3618987798690796,0.35318633913993835,0.40209075808525085,0.593364417552948,1.4960464239120483
2.3739557529,2.3786454572,9.2862427654,-1.6203251723,-0.0447694144,0.6686808917,6.1377095051,6.1077349195,2.285078287124634,0.7922705411911011,0.5157990455627441,0.4366968870162964,0.44623249769210815,0.5227077603340149,0.7629340887069702,2.145966053009033
2.4928880252,2.3767010157,9.2052265116,-1.6051225056,-0.0113353705,0.6185708135,7.3868117693,7.3429370536,2.335942506790161,0.8902769088745117,0.609481155872345,0.5160794854164124,0.5302448272705078,0.6232146620750427,0.9570218920707703,2.298222780227661
2.6117230755,2.3595155336,9.1249703909,-1.4902890151,0.0195931694,0.5587605973,8.6874753576,8.6308253409,2.3821732997894287,0.9846256375312805,0.6904492974281311,0.58766108751297,0.60494464635849,0.7367562055587769,1.1430121660232544,2.1597235202789307
2.7296988518,2.322263198,9.0504559446,-1.2732130133,0.0475311986,0.4905521642,9.9119790326,9.8461224549,2.4429428577423096,1.0690662860870361,0.7585868835449219,0.670651376247406,0.6956040263175964,0.8493911027908325,1.3693510293960571,2.011690139770508
2.8458120114,2.2614378938,8.9867952981,-0.9615192136,0.0720588062,0.4172350973,10.9435613282,10.8748101572,2.4329984188079834,1.1151561737060547,0.8066654205322266,0.7054162621498108,0.7433876991271973,0.9145346879959106,1.5050268173217773,1.8924378156661987
2.9588839059,2.1759776604,8.9387193415,-0.5719185068,0.0929205606,0.3442613691,11.0920321122,11.0269093844,2.379938840866089,1.11863374710083,0.8225203156471252,0.7327535152435303,0.7620359063148499,0.9557271003723145,1.6019010543823242,1.7815515995025635
3.0676827887,2.0721420382,8.91012342,-0.1757375052,0.1101336287,0.2770539396,10.248370236,10.2062151112,2.298781156539917,1.1216883659362793,0.8272907137870789,0.7493476271629333,0.7847530245780945,0.9839012026786804,1.679151177406311,1.6507058143615723
3.1712898906,1.961522487,8.9013365484,0.1487715516,0.1239863254,0.2315120584,7.4120387986,7.3745120069,2.1967074871063232,1.0857902765274048,0.8131812810897827,0.7385417222976685,0.7692248225212097,0.9795551300048828,1.6979305744171143,1.5351191759109497
3.2693660149,1.8687785992,8.9087751294,0.243722635,0.1355619282,0.1915387371,6.7010296278,6.668785856,2.085719108581543,1.0488004684448242,0.7892097234725952,0.71122807264328,0.7587729096412659,0.9565853476524353,1.6149629354476929,1.4581811428070068
3.3628049449,1.7778256905,8.9209612645,0.2806839862,0.145138865,0.1574702631,6.1189902807,6.0882623575,2.0060925483703613,1.0240424871444702,0.7627968192100525,0.6934863328933716,0.7378629446029663,0.9426079988479614,1.5171464681625366,1.3728094100952148
3.4516962295,1.6894312951,8.9349954669,0.2705421911,0.1530123782,0.125945403,5.9136221306,5.8824283421,1.9349128007888794,0.989889919757843,0.7485332489013672,0.6794938445091248,0.7231505513191223,0.9226841926574707,1.4293909072875977,1.3051506280899048
3.5361677945,1.6006227356,8.9485225795,0.2436735178,0.1593096485,0.0952171312,5.8692225633,5.8380440345,1.8681055307388306,0.9678729176521301,0.7202645540237427,0.6564456820487976,0.6980952024459839,0.8998897075653076,1.3640804290771484,1.2534987926483154
3.6161989315,1.5103289878,8.9607062582,0.2131051788,0.1640705053,0.0656564467,5.8687033384,5.8409102257,1.8352532386779785,0.9531033635139465,0.7129158973693848,0.6510561108589172,0.688122034072876,0.9000711441040039,1.2848140001296997,1.161603569984436
