,x,y,theta,delta,vel,value,d1,d2,d3,d4,d5,d6,d7,d8
37,4.2145082365,-2.4293138045,1.88308640582946E-05,3,4,-796.550147604,0.4068675339,0.5862678885,1.0967320204,3.3812701702,1.4210147858,0.6678222418,0.5758904815,0.6344189644
38,-2.5258704311,-1.390062262,2.3785163929,4,5,-337.4734677364,0.5120540857,0.4301355779,0.4370771945,0.4989158213,0.6571651697,0.8680838943,1.1810308695,1.5571703911
39,-2.5960364363,-1.1461293847,1.9891210226,1,2,-229.1790540555,0.6066355109,0.4198001921,0.3548968434,0.3697410822,0.4274162948,0.6279497743,0.9317848086,1.4292064905
40,0.6517162611,1.5891877482,2.0022379492,2,3,-241.7501787721,1.1300344467,0.8720771074,0.6475660205,0.5445938706,0.4910924137,0.4928575456,0.5825051665,0.2500874102
41,4.188660411,4.648561409,-0.7281341906,3,4,-264.3379158602,10,10,10,10,10,10,10,10
42,3.1992776037,-4.6693285449,-2.5452249652,4,5,-537.022699995,10,10,10,10,14.416724205,8.9818601608,7.3383207321,7.1085777283
43,2.1487249289,1.3915704005,-1.9872773687,5,6,-960.322266008,0.4572183788,0.7776771188,0.2839202285,0.5810844302,0.4775005877,0.4431411028,0.4373354018,0.4921402335
44,-0.1843512444,-2.703999811,-1.7979017464,1,2,-615.4764296253,1.1961740255,1.1683899164,0.8549684882,0.8991173506,2.4824616909,1.399107933,0.9711995721,0.9187188148
45,-1.4885338114,0.1371127427,-0.0809415974,2,3,-214.0355973605,1.2365729809,0.7851718068,0.6202529669,0.5974558592,10,10,1.1115150452,1.3576464653
46,2.3705908453,2.5884350114,0.1576087205,3,4,-521.637660803,0.5182989836,0.4768584967,0.4470304847,0.479278028,0.603064239,0.8681834936,1.5444154739,2.2912273407
47,1.8825682965,0.4351421133,-0.5979899978,4,5,-649.3332184325,0.4806813896,0.4009700418,0.3519998193,0.3433984518,0.3811488748,0.5355387926,0.916503191,2.7552075386
48,4.2863684634,4.0667814274,0.0566895898,1,2,-499.6220587628,10,10,10,10,21.119096756,11.0906791687,8.3838243484,0.2520311177
49,-0.1911710362,4.0004601588,3.0120699252,2,3,1798.2659651002,2.648005724,1.213775754,0.6929754019,0.5334349275,0.4938627183,0.5473191142,0.729767561,1.3939316273
50,-2.3765558655,3.378368466,1.3360948467,3,4,-919.1568166198,10,0.7790502906,0.6775149107,10,0.5785198212,10,0.6210552454,0.249106437
51,2.1373275094,-4.1430743825,-0.27626459,4,5,-3.7980391254,10,10,0.8771918416,0.4418542087,0.3433829248,0.3397752643,0.3878885806,0.5303257108
52,1.4475837842,-3.3042017039,-0.7703637274,1,2,-174.3777733219,0.9680972099,1.8363521099,3.0146808624,0.66460675,0.4444380105,0.3774848878,0.3857357204,0.4479621053
53,1.1998035875,-1.4531149192,-2.0429452553,2,3,-561.4673071932,0.6058222055,0.6736841798,0.8527745605,1.1853994131,1.8260322809,2.6466019154,0.3803520501,0.3013750315
54,3.0528007626,-0.1615033646,1.6074021277,3,4,-155.3895894753,1.4280210733,0.5559872985,0.3810412884,0.3354187906,0.3812913299,0.5806158781,2.2350773811,1.4611566067
55,2.0380993683,-4.6596493125,0.9825561041,4,5,-110.6704204309,0.7884454727,0.7375141978,0.7876560092,0.9916298389,0.8793650866,4.7115225792,11.2348098755,12.254529953
56,1.8030929603,-0.3065282452,1.9020134284,5,6,-242.580978675,10,0.5240284801,10,1.3652373552,1.0418525934,0.7533518076,0.5484227538,0.259822011
57,4.3320760754,-4.6476593047,-1.3381304235,1,2,-832.8992620185,10,10,10,10,10,10,10,1.7172917128
58,-2.7349606841,-4.7694523604,2.1948969331,2,3,-956.6850963948,10,10,10,10,10,10,10,10
59,0.5043597372,2.7958601284,-0.83509388,3,4,-210.9643268769,0.6605568528,3.176281929,2.151086092,1.0388827324,0.6060783863,0.4240179062,0.3446531892,0.3021755517
60,4.4788674349,-0.2117133727,1.3928932017,4,5,-144.1114816268,2.9593477249,1.5003004074,0.8303188086,0.6376454234,0.5908486843,0.6446602941,0.8477790356,3.761547327
61,0.333677465,-1.2517364258,3.0621590236,1,2,-439.6858310085,0.6151300669,0.5121054649,0.4838942885,0.4989127219,0.6336571574,0.8714018464,1.3831561804,2.1609904766
62,-1.9939460289,-1.9525971249,0.5463526232,2,3,-766.7518760405,0.4789462686,0.3405970931,0.3839971721,3.0354146957,1.5682502985,1.0682119131,0.8370565176,0.6347221136
63,-2.1090070104,3.9209596419,-2.6792590561,3,4,2000,1.0545530319,1.2873208523,1.5767946243,0.4365410805,0.5354885459,0.8518466353,3.2352669239,1.85120368
64,-2.4077417792,-0.3545042384,2.5916944483,4,5,-465.6399499546,0.5737699866,0.5476902723,0.6132554412,0.8408827782,1.5622780323,4.5665960312,0.7774115801,0.252312988
65,1.5754221391,0.5303374388,-2.8891563005,1,2,-664.928415819,0.3859032393,0.3772728443,0.4523571134,1.3656457663,1.2271547318,1.0338039398,0.7828837633,0.6411540508
66,-2.450366466,2.8568359226,-2.5398855705,2,3,-956.0106156296,0.3117378354,0.3412793577,0.4154455364,0.7456068397,5.1886162758,1.6365220547,0.8156597018,0.6453964114
67,4.3896518575,-1.8087982894,-1.6739093274,3,4,-397.1350450093,0.7839697599,0.5178551078,0.4143141508,0.3534760773,0.357113719,0.4417854846,0.6259180307,0.2610915005
68,3.5963440251,-4.0773973235,-2.1392855692,4,5,-387.1095614689,3.4263386726,4.0575518608,6.1231942177,18.0307178497,10,10,10,10
69,-1.763751242,-4.3541501041,-0.4856141098,5,6,-64.6703059112,1.9763072729,3.9289944172,0.7287178636,0.4453381598,0.3629957139,0.3521697223,0.3957660198,1.4742877483
70,0.5426801289,4.897183836,1.0558141753,1,2,-835.0392742474,10,10,10,10,27.5984230042,11.161488533,0.8946815133,0.5313107967
71,4.3658484237,1.9983086566,2.2135706511,2,3,138.8275918395,3.5903577805,0.7235881686,0.5726857185,0.5774512291,0.7269585133,1.4352275133,4.346739769,0.9768574834
72,-0.1216959279,-2.2700515194,-2.1450051837,3,4,-450.3409319786,1.7714799643,1.6403734684,1.2250424623,1.1078957319,1.4935749769,3.5847933292,0.6519700885,0.5027314425
73,-2.3056881573,-4.0815515146,-0.6056248022,4,5,-100.6499886119,1.7616968155,3.4570097923,0.3091567755,0.3052318096,1.4096668959,3.2727463245,10,0.8587732911
74,-2.396986163,0.3904089362,-2.8650671927,1,2,-517.5158705776,0.6193971038,0.8566100597,1.7964100838,2.9921822548,0.7628000975,0.452853024,0.3638681769,1.5582134724
75,3.7973492362,3.0758910126,0.4295570735,2,3,-806.8209012897,0.3307743073,0.3183519542,0.4315437973,0.6566147208,1.2078305483,2.5105104446,0.3016888797,0.6539645195
76,0.5325734169,2.394559833,-1.8456261725,3,4,-374.1250455206,1.2842677832,0.2655134797,0.2049719393,0.3327049613,1.0754389763,10,10,10
77,-2.9528811364,4.4717792528,2.9596192141,4,5,2000,10.5719537735,28.2875766754,10,10,0.5457559228,0.3942625821,0.4019300938,0.4783018827
78,2.0617060132,4.9001329386,-2.6130547072,1,2,1266.7145463487,0.5424699187,0.4269744158,0.419908613,0.5033705235,0.7780075073,3.4639825821,5.8891816139,10
79,4.3265034213,1.8187846925,1.6414440264,2,3,-52.9820408402,1.5654451847,2.8933367729,0.7514318228,0.529933095,0.4814045429,0.5250182748,0.7651177049,1.8644537926
80,0.2572336669,-1.1346612771,2.7627194153,3,4,-377.6632851236,0.8885878921,0.5965878367,0.5070180893,0.5040921569,0.596388638,0.7476516962,1.1096160412,1.7457520962
81,0.8405159038,-3.7999992655,1.9758128703,4,5,-488.0935604335,0.5630866289,0.4951152802,0.4936914146,0.5179307461,1.9313224554,1.3122053146,1.1168204546,0.7621785402
82,1.3342141565,-4.9707527688,-2.5791347897,5,6,-979.0387000293,10,10.7878465652,5.3410401344,3.9471354485,3.5629897118,3.7706127167,4.7632279396,2.8336040974
83,4.1092774839,-2.3200689533,1.3009880296,1,2,-78.5107699882,4.9926490784,0.766651392,0.5227410793,0.482948184,0.5384622812,0.8682560921,2.3022680283,1.3091955185
84,-0.1530222239,-0.5237781383,-2.2712441744,2,3,-480.6548585099,0.6454465985,0.7682632804,1.2443068027,2.019339323,0.9192894101,0.4757294357,0.3110078573,0.3026374578
85,-1.1794726751,3.8495327272,-0.4985406076,3,4,2000,1.1880674362,3.9659774303,1.1751643419,0.7128056884,0.5728763938,0.5460429788,0.6196559072,0.8437786102
86,1.8534231672,-0.2733610307,1.990843917,4,5,-251.5437285467,3.2957093716,0.5463044643,1.9050402641,1.286895752,0.9712234139,0.7098681331,0.5069611669,0.4238574803
87,1.5392091225,2.6493880492,0.2650142521,1,2,-257.7405381343,0.9349601269,0.7178812623,0.6075612903,0.5797906518,0.6431459785,0.8680959344,1.1820162535,1.5541844368
88,1.8554176808,-1.7468551266,-1.1040511074,2,3,-857.7204975301,0.3497107327,0.4334480464,0.6632018685,1.1303020716,2.1625258923,1.1654381752,0.6327483058,0.5673910379
89,1.5356401023,-1.5377524688,1.694741534,3,4,-775.4815591887,0.3386594951,0.4274742603,3.4982683659,1.700638175,1.1520166397,0.811717391,0.6447187662,0.5746210814
90,-0.520629069,-0.6670992969,-2.3451277119,4,5,-863.5407782521,0.2774579525,0.3514555991,0.5342316031,1.3454163074,2.6186199188,1.0537965298,0.2992257774,0.6197654009
91,3.7543180912,4.442746126,1.6553350543,1,2,214.6841557112,2.4782745838,3.2262682915,5.8890843391,10,0.775713861,0.6049575806,0.5732584,0.7013983727
92,-0.8772667598,1.6325781017,-3.0853713674,2,3,-808.9811065078,0.554995656,0.5096192956,0.5334883332,0.6536026001,1.0271800756,3.1421175003,1.4269108772,0.6296083331
93,3.7963700378,2.7666259222,-1.6726685031,3,4,-425.5888883735,5.6246504784,2.1284792423,1.1662353277,0.771649003,0.5985588431,0.5483618975,0.5598589778,0.6255540252
94,2.9324236962,3.7378480357,-2.4500583301,4,5,834.5282379294,0.5701325536,0.5744258761,0.6746743321,3.8796505928,2.1201677322,1.0116548538,0.5782822967,0.4563267529
95,2.3368699233,3.7428724684,1.2306135952,5,6,-129.8101531322,0.5763836503,0.6308959126,0.8018097878,1.2750854492,4.4572167397,1.0153577328,0.4435572624,0.2533111274
96,0.0693541944,-0.7762589015,2.6801608954,1,2,-374.7618201404,1.5006270409,0.8198848963,0.6459453106,0.5928840637,0.6617894173,0.8577907681,1.2531405687,1.916089654
97,-0.5128425716,2.7460209613,0.1588224945,2,3,-932.08421792,0.7675670981,0.9536973238,0.715444386,0.643892467,0.7012508512,0.8888649344,1.5565699339,0.8127246499
